ssn,birthDate,gender,firstName,lastName,address,city,state,postalCode,email,phone
111-22-3333,1/1/1989,Male,Brian,Chan,5 China Circle,Exton,PA,19341,bchan@yahoo.com,215-222-4444
222-33-4444,4/1/2001,Female,Hayley,Lee,17 Chester Rd. ,West Chester,CH,19381,bchan@yahoo.com,610-444-5000
222-33-4445,4/2/2001,Female,Hayley,Lee,18 Chester Rd. ,West Chester,NL,19382,bchan@yahoo.com,610-444-5001
222-33-4446,4/3/2001,Female,Dayley,Lee,19 Chester Rd. ,West Chester,CH,19383,bchan@yahoo.com,610-444-5002
222-33-4447,4/4/2001,Female,Hayley,Lee,20 Chester Rd. ,West Chester,HU,19384,bchan@yahoo.com,610-444-5003
222-33-4448,4/5/2001,Female,Tesley,John,21 Chester Rd. ,Exton,UK,19385,bchan@yahoo.com,610-444-5004
222-33-4449,4/6/2001,Female,Haesey,John,22 Chester Rd. ,Exton,DE,19386,bchan@yahoo.com,610-444-5005
222-33-4450,4/7/2001,Female,Hayley,John,23 Chester Rd. ,Exton,IE,19387,bchan@yahoo.com,610-444-5006
222-33-4451,4/8/2001,Female,Hayley,John,24 Chester Rd. ,Exton,PA,19388,bchan@yahoo.com,610-444-5007
222-33-4452,4/9/2001,Female,Hayley,John,25 Chester Rd. ,Exton,CH,19389,bchan@yahoo.com,610-444-5008
222-33-4453,4/10/2001,Male,Hayley,John,26 Chester Rd. ,Exton,NL,19390,bchan@yahoo.com,610-444-5009
222-33-4454,4/11/2001,Male,Hayley,John,27 Chester Rd. ,Exton,CH,19391,hlee@gmail.com,610-444-5010
222-33-4455,4/12/2001,Male,Hayley,John,28 Chester Rd. ,Exton,HU,19392,hlee@gmail.com,610-444-5011
222-33-4456,4/13/2001,Male,Hayley,Lee,29 Chester Rd. ,Exton,UK,19393,hlee@gmail.com,610-444-5012
222-33-4457,4/14/2001,Male,Hayley,Lee,30 Chester Rd. ,Exton,DE,19394,hlee@gmail.com,610-444-5013
222-33-4458,4/15/2001,Male,Hayley,Lee,31 Chester Rd. ,Exton,IE,19395,hlee@gmail.com,610-444-5014
222-33-4459,4/16/2001,Male,Hayley,Lee,32 Chester Rd. ,Exton,PA,19396,hlee@gmail.com,610-444-5015
222-33-4460,4/17/2001,Male,Hayley,Lee,33 Chester Rd. ,Exton,CH,19397,hlee@gmail.com,610-444-5016
222-33-4461,4/18/2001,Male,Hayley,Lee,34 Chester Rd. ,West Chester,NL,19398,hlee@gmail.com,610-444-5017
222-33-4462,4/19/2001,Male,Hayley,Lee,35 Chester Rd. ,West Chester,CH,19399,hlee@gmail.com,610-444-5018
222-33-4463,4/20/2001,Male,Hayley,Lee,36 Chester Rd. ,West Chester,HU,19400,hlee@gmail.com,610-444-5019
222-33-4464,4/21/2001,Male,Hayley,Lee,37 Chester Rd. ,West Chester,UK,19401,hlee@gmail.com,610-444-5020
222-33-4465,4/22/2001,Female,Hayley,Lee,38 Chester Rd. ,West Chester,DE,19402,hlee@gmail.com,610-444-5021
222-33-4466,4/23/2001,Female,Hayley,Lee,39 Chester Rd. ,West Chester,IE,19403,hlee@gmail.com,610-444-5022
222-33-4467,4/24/2001,Female,Hayley,Lee,40 Chester Rd. ,West Chester,PA,19404,hlee@gmail.com,610-444-5023
222-33-4468,4/25/2001,Female,Hayley,Lee,41 Chester Rd. ,West Chester,CH,19405,hlee@gmail.com,610-444-5024
222-33-4469,4/26/2001,Female,Hayley,Lee,42 Chester Rd. ,West Chester,NL,19406,hlee@gmail.com,610-444-5025
222-33-4470,4/27/2001,Female,Hayley,Lee,43 Chester Rd. ,West Chester,CH,19407,hlee@gmail.com,610-444-5026
222-33-4471,4/28/2001,Female,Hayley,Lee,44 Chester Rd. ,West Chester,HU,19408,hlee@gmail.com,610-444-5027
222-33-4472,4/29/2001,Female,Hayley,Lee,45 Chester Rd. ,West Chester,UK,19409,hlee@gmail.com,610-444-5028
222-33-4473,4/30/2001,Female,Hayley,Lee,46 Chester Rd. ,West Chester,DE,19410,hlee@gmail.com,610-444-5029
222-33-4474,5/1/2001,Female,Hayley,Lee,47 Chester Rd. ,West Chester,IE,19411,hlee@gmail.com,610-444-5030
222-33-4475,5/2/2001,Female,Hayley,Lee,48 Chester Rd. ,West Chester,PA,19412,hlee@gmail.com,610-444-5031
222-33-4476,5/3/2001,Female,Hayley,Lee,49 Chester Rd. ,West Chester,CH,19413,hlee@gmail.com,610-444-5032
222-33-4477,5/4/2001,Female,Hayley,Lee,50 Chester Rd. ,West Chester,NL,19414,hlee@gmail.com,610-444-5033
222-33-4478,5/5/2001,Female,Hayley,Lee,51 Chester Rd. ,West Chester,CH,19415,hlee@gmail.com,610-444-5034
